case number,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,What was the length of the tenancy,What was the monthly rent?,rental deposit amount,was there an rent increases,What was the total amount of arrears?,Over how many months did the arrears accumulate?,Does the tenant made a payment on the arrears after the eviction notice,"Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any?",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan,L1 present?,L2 present?,L3 present?,L4 present?,L8 present?,L9 present?,N5 present?,N6 present?,N7 present?,N8 present?,T1 present?,T2 present?,T3 present?,T5 present?,T6 present?
SWL-17590-18,carol mcdermott,London,0,1,0,1,0,0,Relief,6.306049004594181,761.0,750.0,0,1715.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-89487-18,shelby whittick,Toronto,1,0,0,0,0,0,No relief,151.5,1595.9445741324917,1073.74,0,3221.06,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-99830-17,sylvia watson,Toronto,1,0,0,1,0,0,No relief,72.0,1595.9445741324917,1536.91,0,3080.73,3.0,0,1,0,0,0,0,0,-1,1,0,1,0,1,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-99928-17,neil kaufman,Newmarket,0,1,0,1,0,0,Relief,84.0,1595.9445741324917,1000.0,0,8500.0,10.0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNT-05236-18,harry cho,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1300.0,0,2652.54,3.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TSL-00273-18,david lee,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,700.0,1365.9816966067865,0,2100.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CEL-74078-18-RV,karen wallace,Mississauga,1,0,0,1,0,0,No relief,108.0,800.0,1365.9816966067865,0,20800.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-74519-18,david mungovan,Mississauga,0,1,1,1,0,0,Relief,16.0,1595.9445741324917,1365.9816966067865,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CEL-74645-18,lisa del vecchio,Barrie,0,1,0,1,0,0,Relief,6.306049004594181,2000.0,1365.9816966067865,0,6000.0,3.0,0,0,0,1,0,1,0,-1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-75210-18,avril cardoso,Mississauga,1,0,0,1,0,0,Relief,8.0,1200.0,1200.0,0,9600.0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-75340-18,avril cardoso,Mississauga,0,1,0,1,0,0,Conditional Order,31.0,1100.0,1100.0,0,2320.0,2.0,0,0,0,0,1,1,0,-1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CEL-75636-18,alex brkic,Mississauga,1,1,0,0,0,0,No relief,24.0,1595.9445741324917,725.0,0,1120.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CEL-76112-18-RV,karen wallace,Mississauga,0,1,0,1,0,1,Relief,13.0,2400.0,2400.0,1,1643.2,5.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SWL-17723-18,carol mcdermott,London,1,0,0,0,0,0,No relief,6.306049004594181,1450.0,1450.0,0,2900.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-18289-18,carol mcdermott,Windsor,1,0,0,1,0,0,Relief,6.306049004594181,900.0,1365.9816966067865,0,3775.0,5.0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-18712-18,melanie love,London,1,0,0,0,0,0,No relief,10.0,2100.0,2100.0,0,2750.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SWL-19968-18-SA,kevin lundy,Stratford,1,1,0,1,0,0,No relief,6.306049004594181,900.0,900.0,0,2700.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SWL-20248-18   ,nathan ferguson,London,1,0,0,1,0,0,Relief,120.0,453.0,355.0,0,445.0,7.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-01781-19,sonia anwar-ali,Toronto,1,0,0,1,0,1,Relief,108.0,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,1,1,1,1,0,1,-1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
